name	type	parity	mirror	p001	p002	p003	p004	p005	p006	p007	p008	p009	p010	p011	p012	p013	p014	p015	p016	p017	p018	p019	p020	p021	p022	p023	p024	p025	p026	p027	p028	p029	p030	p031	p032	p033	p034	p035	p036	p037	p038	p039	p040	p041	p042	p043	p044	p045	p046	p047	p048	p049	p050	p051	p052	p053	p054	p055	p056	p057	p058	p059	p060	p061	p062	p063	p064	p065	p066	p067	p068	p069	p070	p071	p072	p073	p074	p075	p076	p077	p078	p079	p080	p081
GlcN_p0_m0	0	0	0	-1.1442356	-1.1202862	-1.0724481	-0.98335495	-0.91698092	-0.83859854	-0.68345883	-0.4385191	-0.23454208	-1.0607824	-1.0220063	-0.89610135	-0.73990536	-0.57595716	-0.45063012	-0.20205779	0.24355226	0.73816713	-0.89179699	-0.81352773	-0.60366447	-0.29865408	-0.042601285	0.11221457	0.46055651	1.2084933	2.1821102	-0.66616579	-0.54353615	-0.27531519	0.14712122	0.44406037	0.68444292	1.0776264	2.033984	3.3676427	-0.51762402	-0.36383434	-0.044881663	0.36871752	0.68359501	0.90679355	1.2577862	2.1123162	3.4660485	-0.54174688	-0.37746861	-0.038330839	0.34858852	0.57799363	0.6950716	0.92796355	1.5608955	2.5192903	-0.69983122	-0.5610891	-0.27160698	0.039186675	0.16804328	0.21303238	0.31247722	0.64948221	1.1622875	-0.88809687	-0.81185911	-0.64504126	-0.46977733	-0.34019176	-0.28208523	-0.2071924	-0.10431	0.086300523	-1.0098181	-1.0023123	-0.94283725	-0.84630459	-0.7457448	-0.67147998	-0.63965822	-0.63324997	-0.58434203
GlcN_p0_m1	0	0	1	-1.0098181	-1.0023123	-0.94283725	-0.84630459	-0.7457448	-0.67147998	-0.63965822	-0.63324997	-0.58434203	-0.88809687	-0.81185911	-0.64504126	-0.46977733	-0.34019176	-0.28208523	-0.2071924	-0.10431	0.086300523	-0.69983122	-0.5610891	-0.27160698	0.039186675	0.16804328	0.21303238	0.31247722	0.64948221	1.1622875	-0.54174688	-0.37746861	-0.038330839	0.34858852	0.57799363	0.6950716	0.92796355	1.5608955	2.5192903	-0.51762402	-0.36383434	-0.044881663	0.36871752	0.68359501	0.90679355	1.2577862	2.1123162	3.4660485	-0.66616579	-0.54353615	-0.27531519	0.14712122	0.44406037	0.68444292	1.0776264	2.033984	3.3676427	-0.89179699	-0.81352773	-0.60366447	-0.29865408	-0.042601285	0.11221457	0.46055651	1.2084933	2.1821102	-1.0607824	-1.0220063	-0.89610135	-0.73990536	-0.57595716	-0.45063012	-0.20205779	0.24355226	0.73816713	-1.1442356	-1.1202862	-1.0724481	-0.98335495	-0.91698092	-0.83859854	-0.68345883	-0.4385191	-0.23454208
GlcN_p1_m0	0	1	0	-0.23454208	-0.4385191	-0.68345883	-0.83859854	-0.91698092	-0.98335495	-1.0724481	-1.1202862	-1.1442356	0.73816713	0.24355226	-0.20205779	-0.45063012	-0.57595716	-0.73990536	-0.89610135	-1.0220063	-1.0607824	2.1821102	1.2084933	0.46055651	0.11221457	-0.042601285	-0.29865408	-0.60366447	-0.81352773	-0.89179699	3.3676427	2.033984	1.0776264	0.68444292	0.44406037	0.14712122	-0.27531519	-0.54353615	-0.66616579	3.4660485	2.1123162	1.2577862	0.90679355	0.68359501	0.36871752	-0.044881663	-0.36383434	-0.51762402	2.5192903	1.5608955	0.92796355	0.6950716	0.57799363	0.34858852	-0.038330839	-0.37746861	-0.54174688	1.1622875	0.64948221	0.31247722	0.21303238	0.16804328	0.039186675	-0.27160698	-0.5610891	-0.69983122	0.086300523	-0.10431	-0.2071924	-0.28208523	-0.34019176	-0.46977733	-0.64504126	-0.81185911	-0.88809687	-0.58434203	-0.63324997	-0.63965822	-0.67147998	-0.7457448	-0.84630459	-0.94283725	-1.0023123	-1.0098181
GlcN_p1_m1	0	1	1	-0.58434203	-0.63324997	-0.63965822	-0.67147998	-0.7457448	-0.84630459	-0.94283725	-1.0023123	-1.0098181	0.086300523	-0.10431	-0.2071924	-0.28208523	-0.34019176	-0.46977733	-0.64504126	-0.81185911	-0.88809687	1.1622875	0.64948221	0.31247722	0.21303238	0.16804328	0.039186675	-0.27160698	-0.5610891	-0.69983122	2.5192903	1.5608955	0.92796355	0.6950716	0.57799363	0.34858852	-0.038330839	-0.37746861	-0.54174688	3.4660485	2.1123162	1.2577862	0.90679355	0.68359501	0.36871752	-0.044881663	-0.36383434	-0.51762402	3.3676427	2.033984	1.0776264	0.68444292	0.44406037	0.14712122	-0.27531519	-0.54353615	-0.66616579	2.1821102	1.2084933	0.46055651	0.11221457	-0.042601285	-0.29865408	-0.60366447	-0.81352773	-0.89179699	0.73816713	0.24355226	-0.20205779	-0.45063012	-0.57595716	-0.73990536	-0.89610135	-1.0220063	-1.0607824	-0.23454208	-0.4385191	-0.68345883	-0.83859854	-0.91698092	-0.98335495	-1.0724481	-1.1202862	-1.1442356
GlcNAc_p0_m0	1	0	0	-0.16943808	-0.30928079	-0.37539108	-0.39711649	-0.3992973	-0.39835907	-0.39837333	-0.39874403	-0.3981456	0.35139464	-0.11222762	-0.33371502	-0.39058369	-0.39470387	-0.3919533	-0.3933665	-0.39685539	-0.39893992	1.2505229	0.22755624	-0.26123884	-0.37964382	-0.38571005	-0.38225036	-0.38574685	-0.39304336	-0.39780314	1.8646389	0.47007076	-0.21420331	-0.37342856	-0.38153604	-0.37724191	-0.38064094	-0.3892313	-0.39673467	1.883687	0.44366619	-0.23534897	-0.38605128	-0.38900818	-0.38346691	-0.38546648	-0.39143379	-0.39717824	2.4439776	0.50885611	-0.29048087	-0.42487425	-0.41128687	-0.39808339	-0.39596617	-0.39696007	-0.39902373	4.0767873	0.85848255	-0.33008155	-0.48608139	-0.43665596	-0.40747404	-0.40069248	-0.39940504	-0.39906831	4.9641079	1.1001924	-0.30887938	-0.49661121	-0.42574541	-0.38559842	-0.38699414	-0.39357147	-0.39662757	3.3801634	0.74076656	-0.27200864	-0.4192677	-0.34640006	-0.3142929	-0.3472074	-0.3797587	-0.39287514
GlcNAc_p0_m1	1	0	1	3.3801634	0.74076656	-0.27200864	-0.4192677	-0.34640006	-0.3142929	-0.3472074	-0.3797587	-0.39287514	4.9641079	1.1001924	-0.30887938	-0.49661121	-0.42574541	-0.38559842	-0.38699414	-0.39357147	-0.39662757	4.0767873	0.85848255	-0.33008155	-0.48608139	-0.43665596	-0.40747404	-0.40069248	-0.39940504	-0.39906831	2.4439776	0.50885611	-0.29048087	-0.42487425	-0.41128687	-0.39808339	-0.39596617	-0.39696007	-0.39902373	1.883687	0.44366619	-0.23534897	-0.38605128	-0.38900818	-0.38346691	-0.38546648	-0.39143379	-0.39717824	1.8646389	0.47007076	-0.21420331	-0.37342856	-0.38153604	-0.37724191	-0.38064094	-0.3892313	-0.39673467	1.2505229	0.22755624	-0.26123884	-0.37964382	-0.38571005	-0.38225036	-0.38574685	-0.39304336	-0.39780314	0.35139464	-0.11222762	-0.33371502	-0.39058369	-0.39470387	-0.3919533	-0.3933665	-0.39685539	-0.39893992	-0.16943808	-0.30928079	-0.37539108	-0.39711649	-0.3992973	-0.39835907	-0.39837333	-0.39874403	-0.3981456
GlcNAc_p1_m0	1	1	0	-0.3981456	-0.39874403	-0.39837333	-0.39835907	-0.3992973	-0.39711649	-0.37539108	-0.30928079	-0.16943808	-0.39893992	-0.39685539	-0.3933665	-0.3919533	-0.39470387	-0.39058369	-0.33371502	-0.11222762	0.35139464	-0.39780314	-0.39304336	-0.38574685	-0.38225036	-0.38571005	-0.37964382	-0.26123884	0.22755624	1.2505229	-0.39673467	-0.3892313	-0.38064094	-0.37724191	-0.38153604	-0.37342856	-0.21420331	0.47007076	1.8646389	-0.39717824	-0.39143379	-0.38546648	-0.38346691	-0.38900818	-0.38605128	-0.23534897	0.44366619	1.883687	-0.39902373	-0.39696007	-0.39596617	-0.39808339	-0.41128687	-0.42487425	-0.29048087	0.50885611	2.4439776	-0.39906831	-0.39940504	-0.40069248	-0.40747404	-0.43665596	-0.48608139	-0.33008155	0.85848255	4.0767873	-0.39662757	-0.39357147	-0.38699414	-0.38559842	-0.42574541	-0.49661121	-0.30887938	1.1001924	4.9641079	-0.39287514	-0.3797587	-0.3472074	-0.3142929	-0.34640006	-0.4192677	-0.27200864	0.74076656	3.3801634
GlcNAc_p1_m1	1	1	1	-0.39287514	-0.3797587	-0.3472074	-0.3142929	-0.34640006	-0.4192677	-0.27200864	0.74076656	3.3801634	-0.39662757	-0.39357147	-0.38699414	-0.38559842	-0.42574541	-0.49661121	-0.30887938	1.1001924	4.9641079	-0.39906831	-0.39940504	-0.40069248	-0.40747404	-0.43665596	-0.48608139	-0.33008155	0.85848255	4.0767873	-0.39902373	-0.39696007	-0.39596617	-0.39808339	-0.41128687	-0.42487425	-0.29048087	0.50885611	2.4439776	-0.39717824	-0.39143379	-0.38546648	-0.38346691	-0.38900818	-0.38605128	-0.23534897	0.44366619	1.883687	-0.39673467	-0.3892313	-0.38064094	-0.37724191	-0.38153604	-0.37342856	-0.21420331	0.47007076	1.8646389	-0.39780314	-0.39304336	-0.38574685	-0.38225036	-0.38571005	-0.37964382	-0.26123884	0.22755624	1.2505229	-0.39893992	-0.39685539	-0.3933665	-0.3919533	-0.39470387	-0.39058369	-0.33371502	-0.11222762	0.35139464	-0.3981456	-0.39874403	-0.39837333	-0.39835907	-0.3992973	-0.39711649	-0.37539108	-0.30928079	-0.16943808
