type	t_nm	u_nm	value
1	0.24	0.16	1.695428815e-09
1	0.32	0.16	2.009352315e-09
1	-0.32	0.24	5.002022556e-06
1	-0.24	0.24	1.399748904e-06
1	-0.16	0.24	8.609121604e-08
1	-0.08	0.24	-8.892851496e-08
1	0	0.24	-2.286132488e-08
1	0.08	0.24	1.456714466e-08
1	0.16	0.24	1.326593027e-08
1	0.24	0.24	7.133976778e-09
1	0.32	0.24	4.284825159e-09
1	-0.32	0.32	3.525333558e-06
1	-0.24	0.32	1.064661263e-06
1	-0.16	0.32	1.204652814e-07
1	-0.08	0.32	-1.682225121e-08
1	0	0.32	5.111121431e-08
1	0.08	0.32	8.104426465e-08
1	0.16	0.32	5.035854909e-08
1	0.24	0.32	2.001143293e-08
1	0.32	0.32	7.783159305e-09
